Epoch 1: train_loss=0.5363, val_loss=0.4380, train_acc=0.7169, val_acc=0.7958
Epoch 2: train_loss=0.3978, val_loss=0.3847, train_acc=0.8193, val_acc=0.8278
Epoch 3: train_loss=0.3415, val_loss=0.3559, train_acc=0.8511, val_acc=0.8416
Epoch 4: train_loss=0.3008, val_loss=0.3534, train_acc=0.8725, val_acc=0.8522
Epoch 5: train_loss=0.2709, val_loss=0.3593, train_acc=0.8873, val_acc=0.8553
Epoch 6: train_loss=0.2438, val_loss=0.3773, train_acc=0.9031, val_acc=0.8484
Epoch 7: train_loss=0.2180, val_loss=0.3763, train_acc=0.9138, val_acc=0.8542
Epoch 8: train_loss=0.1986, val_loss=0.3888, train_acc=0.9219, val_acc=0.8540
Epoch 9: train_loss=0.1817, val_loss=0.4330, train_acc=0.9294, val_acc=0.8460
Epoch 10: train_loss=0.1620, val_loss=0.4769, train_acc=0.9379, val_acc=0.8518
Epoch 11: train_loss=0.1497, val_loss=0.4848, train_acc=0.9418, val_acc=0.8504
Epoch 12: train_loss=0.1347, val_loss=0.4851, train_acc=0.9472, val_acc=0.8493
Epoch 13: train_loss=0.1249, val_loss=0.5219, train_acc=0.9529, val_acc=0.8449
Epoch 14: train_loss=0.1109, val_loss=0.5556, train_acc=0.9588, val_acc=0.8458
Epoch 15: train_loss=0.1039, val_loss=0.5784, train_acc=0.9613, val_acc=0.8464
Epoch 16: train_loss=0.0931, val_loss=0.6165, train_acc=0.9656, val_acc=0.8456
Epoch 17: train_loss=0.0839, val_loss=0.6233, train_acc=0.9680, val_acc=0.8338
Epoch 18: train_loss=0.0765, val_loss=0.6954, train_acc=0.9720, val_acc=0.8402
Epoch 19: train_loss=0.0726, val_loss=0.7665, train_acc=0.9735, val_acc=0.8311
Epoch 20: train_loss=0.0657, val_loss=0.8016, train_acc=0.9752, val_acc=0.8322
Epoch 21: train_loss=0.0608, val_loss=0.8116, train_acc=0.9772, val_acc=0.8278
Epoch 22: train_loss=0.0568, val_loss=0.8543, train_acc=0.9792, val_acc=0.8293
Epoch 23: train_loss=0.0497, val_loss=0.8235, train_acc=0.9814, val_acc=0.8342
Epoch 24: train_loss=0.0525, val_loss=0.8655, train_acc=0.9813, val_acc=0.8320
Epoch 25: train_loss=0.0458, val_loss=0.8186, train_acc=0.9826, val_acc=0.8351
Epoch 26: train_loss=0.0439, val_loss=0.9344, train_acc=0.9834, val_acc=0.8342
Epoch 27: train_loss=0.0413, val_loss=0.8540, train_acc=0.9848, val_acc=0.8351
Epoch 28: train_loss=0.0398, val_loss=0.8967, train_acc=0.9853, val_acc=0.8347
Epoch 29: train_loss=0.0372, val_loss=0.9318, train_acc=0.9865, val_acc=0.8327
Epoch 30: train_loss=0.0346, val_loss=0.9478, train_acc=0.9872, val_acc=0.8344
Epoch 31: train_loss=0.0365, val_loss=0.8823, train_acc=0.9872, val_acc=0.8262
Epoch 32: train_loss=0.0296, val_loss=1.0228, train_acc=0.9890, val_acc=0.8378
Epoch 33: train_loss=0.0301, val_loss=0.9542, train_acc=0.9894, val_acc=0.8269
Epoch 34: train_loss=0.0292, val_loss=0.9996, train_acc=0.9892, val_acc=0.8340
Epoch 35: train_loss=0.0274, val_loss=1.0212, train_acc=0.9898, val_acc=0.8318
Epoch 36: train_loss=0.0280, val_loss=1.0087, train_acc=0.9898, val_acc=0.8373
Epoch 37: train_loss=0.0261, val_loss=1.0597, train_acc=0.9907, val_acc=0.8353
Epoch 38: train_loss=0.0253, val_loss=1.0133, train_acc=0.9906, val_acc=0.8307
