Epoch 1: loss=1.7996, train_acc=0.9250, val_acc=0.5940, test_acc=0.5620
Epoch 2: loss=1.4342, train_acc=0.9417, val_acc=0.6440, test_acc=0.6080
Epoch 3: loss=1.0282, train_acc=0.9417, val_acc=0.6620, test_acc=0.6470
Epoch 4: loss=0.6761, train_acc=0.9417, val_acc=0.6940, test_acc=0.6680
Epoch 5: loss=0.4052, train_acc=0.9667, val_acc=0.7100, test_acc=0.6850
Epoch 6: loss=0.2802, train_acc=0.9750, val_acc=0.7040, test_acc=0.6920
Epoch 7: loss=0.1902, train_acc=0.9917, val_acc=0.6900, test_acc=0.6950
Epoch 8: loss=0.1179, train_acc=1.0000, val_acc=0.6860, test_acc=0.6890
Epoch 9: loss=0.0911, train_acc=1.0000, val_acc=0.6800, test_acc=0.6880
Epoch 10: loss=0.0672, train_acc=1.0000, val_acc=0.6740, test_acc=0.6810
Epoch 11: loss=0.0450, train_acc=1.0000, val_acc=0.6740, test_acc=0.6800
Epoch 12: loss=0.0501, train_acc=1.0000, val_acc=0.6680, test_acc=0.6720
Epoch 13: loss=0.0347, train_acc=1.0000, val_acc=0.6640, test_acc=0.6730
Epoch 14: loss=0.0311, train_acc=1.0000, val_acc=0.6680, test_acc=0.6750
Epoch 15: loss=0.0245, train_acc=1.0000, val_acc=0.6740, test_acc=0.6720
Epoch 16: loss=0.0288, train_acc=1.0000, val_acc=0.6760, test_acc=0.6720
Epoch 17: loss=0.0084, train_acc=1.0000, val_acc=0.6800, test_acc=0.6750
Epoch 18: loss=0.0141, train_acc=1.0000, val_acc=0.6820, test_acc=0.6680
Epoch 19: loss=0.0161, train_acc=1.0000, val_acc=0.6780, test_acc=0.6710
Epoch 20: loss=0.0138, train_acc=1.0000, val_acc=0.6760, test_acc=0.6690
Epoch 21: loss=0.0222, train_acc=1.0000, val_acc=0.6740, test_acc=0.6670
Epoch 22: loss=0.0126, train_acc=1.0000, val_acc=0.6680, test_acc=0.6660
Epoch 23: loss=0.0080, train_acc=1.0000, val_acc=0.6680, test_acc=0.6650
Epoch 24: loss=0.0164, train_acc=1.0000, val_acc=0.6700, test_acc=0.6660
Epoch 25: loss=0.0206, train_acc=1.0000, val_acc=0.6700, test_acc=0.6730
Epoch 26: loss=0.0104, train_acc=1.0000, val_acc=0.6720, test_acc=0.6740
Epoch 27: loss=0.0056, train_acc=1.0000, val_acc=0.6760, test_acc=0.6750
Epoch 28: loss=0.0122, train_acc=1.0000, val_acc=0.6680, test_acc=0.6710
Epoch 29: loss=0.0043, train_acc=1.0000, val_acc=0.6620, test_acc=0.6690
Epoch 30: loss=0.0096, train_acc=1.0000, val_acc=0.6620, test_acc=0.6660
Epoch 31: loss=0.0219, train_acc=1.0000, val_acc=0.6600, test_acc=0.6670
Epoch 32: loss=0.0162, train_acc=1.0000, val_acc=0.6620, test_acc=0.6650
Epoch 33: loss=0.0148, train_acc=1.0000, val_acc=0.6640, test_acc=0.6710
Epoch 34: loss=0.0055, train_acc=1.0000, val_acc=0.6660, test_acc=0.6780
Epoch 35: loss=0.0106, train_acc=1.0000, val_acc=0.6680, test_acc=0.6790
Epoch 36: loss=0.0066, train_acc=1.0000, val_acc=0.6720, test_acc=0.6860
Epoch 37: loss=0.0065, train_acc=1.0000, val_acc=0.6720, test_acc=0.6870
Epoch 38: loss=0.0069, train_acc=1.0000, val_acc=0.6740, test_acc=0.6890
Epoch 39: loss=0.0210, train_acc=1.0000, val_acc=0.6740, test_acc=0.6890
Epoch 40: loss=0.0085, train_acc=1.0000, val_acc=0.6740, test_acc=0.6900
Epoch 41: loss=0.0118, train_acc=1.0000, val_acc=0.6780, test_acc=0.6910
Epoch 42: loss=0.0088, train_acc=1.0000, val_acc=0.6780, test_acc=0.6890
Epoch 43: loss=0.0128, train_acc=1.0000, val_acc=0.6800, test_acc=0.6850
Epoch 44: loss=0.0079, train_acc=1.0000, val_acc=0.6820, test_acc=0.6830
Epoch 45: loss=0.0221, train_acc=1.0000, val_acc=0.6820, test_acc=0.6830
Epoch 46: loss=0.0132, train_acc=1.0000, val_acc=0.6700, test_acc=0.6730
Epoch 47: loss=0.0088, train_acc=1.0000, val_acc=0.6760, test_acc=0.6670
Epoch 48: loss=0.0101, train_acc=1.0000, val_acc=0.6720, test_acc=0.6640
Epoch 49: loss=0.0157, train_acc=1.0000, val_acc=0.6720, test_acc=0.6590
Epoch 50: loss=0.0123, train_acc=1.0000, val_acc=0.6740, test_acc=0.6600
Epoch 51: loss=0.0088, train_acc=1.0000, val_acc=0.6760, test_acc=0.6630
Epoch 52: loss=0.0159, train_acc=1.0000, val_acc=0.6820, test_acc=0.6670
Epoch 53: loss=0.0120, train_acc=1.0000, val_acc=0.6840, test_acc=0.6710
Epoch 54: loss=0.0138, train_acc=1.0000, val_acc=0.6840, test_acc=0.6750
Epoch 55: loss=0.0103, train_acc=1.0000, val_acc=0.6900, test_acc=0.6800

Best val_acc=0.7100 at epoch=5, test_acc_at_best_val=0.6850
